study_id,pubmed_id
2225,20817749.0
1130,21390504.0
5757,16010539.0
4558,12495789.0
9036,17295197.0
8157,26612618.0
591,33878621.0
5215,
9273,
902,17591659.0
718,18208933.0
7779,
1083,28541119.0
7214,34912222.0
170,
7425,16941121.0
8527,23627784.0
229,
5813,9718589.0
2821,27892759.0
6452,21953632.0
6389,36584715.0
960,
3650,12888783.0
3687,34785376.0
5464,7517677.0
7364,26855234.0
6993,16880489.0
6374,30246357.0
5107,32324515.0
6496,12109952.0
7781,18208917.0
4732,8923336.0
5460,17203011.0
7369,23746613.0
3775,
5456,21603895.0
5189,23135605.0
4780,31778967.0
7970,36907889.0
4064,21131142.0
6453,
1710,
3054,37086340.0
5247,37253161.0
2938,23223117.0
8596,
1655,
4133,37638529.0
6135,
9471,16571556.0
202,37276086.0
4930,23899429.0
625,36238946.0
7778,
7593,30312839.0
1877,30822141.0
7304,15179026.0
5498,
3100,16342002.0
8552,36940333.0
5158,
178,37291360.0
1482,34228135.0
7313,12660312.0
7575,
1254,32500212.0
2155,22005052.0
6199,
6670,32023369.0
6099,
811,31440588.0
3736,35809678.0
4230,32860422.0
8276,25122044.0
4578,9498724.0
2625,22700465.0
8874,
5998,
6090,
4574,10664830.0
6005,
8117,16957494.0
6641,29867602.0
8918,15034712.0
6698,32677051.0
469,37192642.0
6091,
64,
6977,31500679.0
1448,36898326.0
7272,
6249,
8694,21232924.0
3555,37201900.0
139,
5206,32146028.0
1077,20119830.0
9083,37122239.0
1487,
9313,28866005.0
8488,
9431,24142202.0
2729,11559960.0
5712,36571375.0
5377,
5618,33888426.0
7124,21956447.0
518,25922420.0
7506,15677610.0
7730,
5928,
6821,36183860.0
3720,19422355.0
421,37378010.0
2278,
2828,10989265.0
7212,16574712.0
1276,22282432.0
1035,32803732.0
8782,27568200.0
6268,
7277,11600108.0
1948,17077812.0
9038,15641126.0
5628,37051610.0
1759,22110616.0
8104,
5512,34332360.0
7750,22836372.0
5945,22189657.0
1165,
1842,15372137.0
5703,32929215.0
5469,19890014.0
8319,8731519.0
8043,33933839.0
7352,33249434.0
1329,
9410,
3742,32968108.0
2929,
2686,12404541.0
1319,16269092.0
7226,34695117.0
1148,15380289.0
764,
4292,33995022.0
2670,30426183.0
2626,15527532.0
5733,
2222,19074534.0
9607,
6030,
7337,
3236,16574715.0
8140,
2174,27133029.0
6523,38025433.0
5378,32446245.0
4298,25554429.0
